date,kwh,Cumulative_solar_power,Gas/day
10/26/2011,5,0.1,9
10/27/2011,10.1,10.2,9.2
10/28/2011,10,20.2,8
10/29/2011,9.4,29.6,6.6
10/30/2011,4.6,34.2,5.3
10/31/2011,3.8,38,5.7
11/1/2011,0,46.6,5.3
11/2/2011,0,51.6,5.4
11/3/2011,0,58.6,7.6
11/4/2011,0,60.5,5.5
11/5/2011,0,65.7,5.2
11/6/2011,0,71.8,4.8
11/7/2011,0,73.3,5.3
11/8/2011,0,73.8,7.3
11/9/2011,0,76.1,8.3
11/10/2011,0,82.5,7.2
11/11/2011,0,89.1,10.5
11/12/2011,0,95.5,10.2
11/13/2011,0,99.9,10.7
11/14/2011,1.5,101.4,9.9
11/15/2011,7.7,109.1,11.4
11/16/2011,6.9,116,13.6
11/17/2011,6.3,122.3,16.1
11/18/2011,2,124.3,12.8
11/19/2011,6.2,130.5,10.3
11/20/2011,6,136.5,12.6
11/21/2011,6,142.5,12.8
11/22/2011,2.5,145,13.4
11/23/2011,3.3,148.3,11.9
11/24/2011,1.5,149.8,9.7
11/25/2011,1.9,151.7,12.6
11/26/2011,0.7,152.4,11.3
11/27/2011,3.7,156.1,12.6
11/28/2011,1.3,157.4,12.5
11/29/2011,6.5,163.9,10.7
11/30/2011,1.4,165.3,13.4
12/1/2011,124.1,170.7,11
12/2/2011,120.5,172.1,10.6
12/3/2011,116.1,174.7,14.4
12/4/2011,114.8,175.3,12.7
12/5/2011,110.6,176.3,10.7
12/6/2011,107,178.8,15
12/7/2011,107.2,180.5,15.7
12/8/2011,108.2,182,15.4
12/9/2011,107.5,183.6,15.4
12/10/2011,105.9,188.4,15.2
12/11/2011,103.5,192.6,15.4
12/12/2011,99.5,195,15.5
12/13/2011,2.8,197.8,14.2
12/14/2011,1.3,199.1,13.7
12/15/2011,1,200.1,16.2
12/16/2011,1.5,201.6,15.8
12/17/2011,0.2,201.8,17.3
12/18/2011,3.6,205.4,17.8
12/19/2011,4.3,209.7,16
12/20/2011,1.9,211.6,20.1
12/21/2011,2.8,214.4,14.4
12/22/2011,0.9,215.3,14.2
12/23/2011,0.9,216.2,12.9
12/24/2011,1.2,217.4,11.1
12/25/2011,2.3,219.7,12.4
12/26/2011,0.6,220.3,14.1
12/27/2011,0.4,220.7,11.5
12/28/2011,0.5,221.2,11.4
12/29/2011,0.5,221.7,12.7
12/30/2011,0.9,222.6,15.4
12/31/2011,3.6,226.2,15.2
1/1/2012,0.5,226.7,13.6
1/2/2012,0,227.5,10.6
1/3/2012,0,230.4,11.7
1/4/2012,0,231.2,19.3
1/5/2012,0,233.9,10.6
1/6/2012,0,235.5,14.9
1/7/2012,0,236.5,15.4
1/8/2012,0,240.6,14.6
1/9/2012,0,245.8,13.5
1/10/2012,0,246.8,11.8
1/11/2012,0,248.3,11.1
1/12/2012,0,249.9,11.4
1/13/2012,0,251.3,14
1/14/2012,3.4,254.7,13.5
1/15/2012,3.4,258.1,14.7
1/16/2012,5.4,263.5,16
1/17/2012,5.9,269.4,16.6
1/18/2012,5.4,274.8,18.3
1/19/2012,1.7,276.5,17.3
1/20/2012,0.8,277.3,17.1
1/21/2012,0.8,278.1,14.5
1/22/2012,0.8,278.9,14.7
1/23/2012,3.9,282.8,15.5
1/24/2012,3.3,286.1,13.6
1/25/2012,2.1,288.2,15.8
1/26/2012,1.4,289.6,13.5
1/27/2012,1.1,290.7,14.7
1/28/2012,6.3,297,13.7
1/29/2012,3.3,300.3,15.6
1/30/2012,1.3,301.6,17.9
1/31/2012,0.2,301.8,21.8
2/1/2012,80.7,307.4,19.2
2/2/2012,88.3,315.8,25
2/3/2012,93.9,324.3,28
2/4/2012,95.4,326.6,28
2/5/2012,100.3,334.2,26
2/6/2012,104.3,339.8,26
2/7/2012,111.9,348.4,25
2/8/2012,115.1,355.7,29
2/9/2012,117.8,363.6,25
2/10/2012,120.5,367.3,24
2/11/2012,128.6,376.9,27
2/12/2012,133.4,383.3,27
2/13/2012,0,385.9,25
2/14/2012,3,388.9,20
2/15/2012,4.7,393.6,16
2/16/2012,2.4,396,16
2/17/2012,3.6,399.6,15
2/18/2012,5.2,404.8,16
2/19/2012,1.5,406.3,16
2/20/2012,7.3,413.6,15
2/21/2012,10.7,424.3,16
2/22/2012,6.4,430.7,17
2/23/2012,6.2,436.9,17
2/24/2012,2.4,439.3,14
2/25/2012,2.3,441.6,12
2/26/2012,9.1,450.7,12
2/27/2012,2.6,453.3,14
2/28/2012,3.9,457.2,13
2/29/2012,1.5,458.7,12
3/1/2012,153.8,461.2,11
3/2/2012,147.7,463.5,10
3/3/2012,141,465.3,13
3/4/2012,144.8,471.4,9
3/5/2012,141.3,475.5,12
3/6/2012,137.3,477.1,13
3/7/2012,135.1,483.5,13
3/8/2012,130.1,485.8,16
3/9/2012,134.4,498,16
3/10/2012,136.8,504.1,13
3/11/2012,131.3,508.2,11
3/12/2012,141,524.3,7
3/13/2012,0,538,12
3/14/2012,3.5,541.5,9
3/15/2012,13.2,554.7,11
3/16/2012,17.2,571.9,9
3/17/2012,15.7,587.6,8
3/18/2012,4.9,592.5,11
3/19/2012,9,601.5,16
3/20/2012,17.8,619.3,12
3/21/2012,13.2,632.5,10
3/22/2012,18.3,650.8,11
3/23/2012,17.7,668.5,5
3/24/2012,17.7,686.2,6
3/25/2012,17.1,703.3,3
3/26/2012,20.2,723.5,7
3/27/2012,19.3,742.8,7
3/28/2012,17.9,760.7,6
3/29/2012,19.4,780.1,8
3/30/2012,14.2,794.3,7
3/31/2012,2.3,796.6,10
4/1/2012,343,804.2,11
4/2/2012,359.8,823.3,19
4/3/2012,378.9,844.2,9
4/4/2012,388.9,860.3,9
4/5/2012,396.9,872.4,9
4/6/2012,401.1,878.2,10
4/7/2012,416.7,900.2,10
4/8/2012,425.1,910.9,12
4/9/2012,424.1,922.1,12
4/10/2012,423.8,927.9,10
4/11/2012,424.9,933.1,10
4/12/2012,416.2,940.5,12
4/13/2012,0,953.9,11
4/14/2012,19,972.9,19
4/15/2012,19.5,992.4,20
4/16/2012,8.7,1001.1,11
4/17/2012,20.2,1021.3,11
4/18/2012,8.2,1029.5,13
4/19/2012,12.4,1041.9,13
4/20/2012,17.1,1059,11
4/21/2012,13.4,1072.4,11
4/22/2012,13.7,1086.1,11
4/23/2012,17.3,1103.4,11
4/24/2012,11.5,1114.9,10
4/25/2012,11.2,1126.1,10
4/26/2012,7.8,1133.9,9
4/27/2012,13.8,1147.7,10
4/28/2012,11.2,1158.9,8
4/29/2012,8.1,1167,6
4/30/2012,19.9,1186.9,5
5/1/2012,397.8,1202,5
5/2/2012,399.6,1222.9,3
5/3/2012,383.8,1228,6
5/4/2012,372.7,1233,4
5/5/2012,381.1,1253.5,6
